feature,importance
ECO2,0.0056973562200505765
NC2.5,0.006132899605431093
NC1.0,0.011811246851640061
PM2.5,0.01630589915558035
Temperature,0.017429829883406595
Raw H2,0.021505119552093804
PM1.0,0.02415859431477648
NC0.5,0.03639268732862041
Humidity,0.046115173430218544
Raw Ethanol,0.05053555553728091
Pressure,0.11190902844791008
TVOC,0.12344699047453722
