feature,importance
NC1.0,0.0031863070928175087
NC2.5,0.0035736310647006614
ECO2,0.00834336138957811
PM2.5,0.017765727946930442
NC0.5,0.25205897089925045
Raw Ethanol,0.3851391428382521
Raw H2,0.49099002877699116
Temperature,0.5134509506284023
Humidity,0.8475600965525355
PM1.0,1.0172465663272052
TVOC,3.3477601350196813
Pressure,4.987733131198326
