epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8079.12,2.77885,6.22252,3.05181,0.44335,0.45108,0.40138,0.19081,3.12251,6.15126,3.30191,0.000475049,0.000475049,0.000475049
2,14116.6,2.95671,4.11326,3.07299,0.39975,0.40898,0.36056,0.17459,3.44607,5.43649,3.51632,0.000904289,0.000904289,0.000904289
3,19688,2.95476,3.56469,3.05923,0.41109,0.50531,0.44289,0.20931,3.25138,3.60537,3.32323,0.00128637,0.00128637,0.00128637
4,24832.8,2.89478,3.29558,3.01334,0.47427,0.4646,0.44489,0.21489,3.14344,3.81368,3.18787,0.00121679,0.00121679,0.00121679
5,31045.6,2.84499,3.09761,2.97745,0.63668,0.55529,0.60823,0.33551,2.77686,2.82452,2.93542,0.00114606,0.00114606,0.00114606
6,36598.2,2.7725,2.94421,2.93495,0.63434,0.58479,0.6134,0.33653,2.78,2.71757,2.91968,0.00107532,0.00107532,0.00107532
7,42112.6,2.71095,2.83698,2.89621,0.56899,0.56002,0.56215,0.29811,2.85049,2.81848,2.99112,0.00100459,0.00100459,0.00100459
8,47647.4,2.68587,2.74164,2.86686,0.61063,0.65006,0.66119,0.38249,2.60977,2.52532,2.81718,0.000933851,0.000933851,0.000933851
9,53184.5,2.63902,2.68153,2.84562,0.66797,0.65191,0.69448,0.41058,2.55354,2.28733,2.73621,0.000863116,0.000863116,0.000863116
10,58728,2.58057,2.56458,2.80653,0.63872,0.64709,0.66481,0.37379,2.67137,2.34204,2.8273,0.00079238,0.00079238,0.00079238
11,64556.1,2.62122,2.30515,2.91858,0.69311,0.65244,0.71048,0.42433,2.57974,2.16886,2.7689,0.000721645,0.000721645,0.000721645
12,69789.5,2.56121,2.21137,2.8784,0.70138,0.67327,0.72767,0.44611,2.49593,2.07251,2.71211,0.000650909,0.000650909,0.000650909
13,76784.5,2.51043,2.14309,2.84294,0.71994,0.65941,0.7368,0.44068,2.50791,2.04485,2.70331,0.000580174,0.000580174,0.000580174
14,83670.4,2.45468,2.06479,2.80049,0.70412,0.68676,0.73663,0.43662,2.52985,2.06055,2.72244,0.000509438,0.000509438,0.000509438
15,89228.4,2.4054,1.95851,2.76981,0.75416,0.67681,0.75805,0.46907,2.4045,1.93343,2.64783,0.000438703,0.000438703,0.000438703
16,94971.3,2.35808,1.90605,2.73268,0.72489,0.69596,0.75528,0.47345,2.376,1.97206,2.62015,0.000367967,0.000367967,0.000367967
17,101431,2.30978,1.84174,2.71406,0.73564,0.70957,0.77177,0.49622,2.31752,1.84346,2.58464,0.000297232,0.000297232,0.000297232
18,107596,2.26477,1.77732,2.68346,0.7582,0.71039,0.78422,0.50414,2.31145,1.79439,2.57883,0.000226497,0.000226497,0.000226497
19,113866,2.2249,1.70775,2.65876,0.74489,0.71945,0.78365,0.50021,2.30903,1.78226,2.57251,0.000155761,0.000155761,0.000155761
20,119451,2.16597,1.6627,2.62065,0.76007,0.72818,0.79056,0.51555,2.24308,1.73523,2.5314,8.50255e-05,8.50255e-05,8.50255e-05
