Image Name,FPS,Fire Scores,Smoke Scores
image1.jpg,4.11,"0.7542,0.5730,0.5043",0.6665
image2.jpg,10.19,0.7619,0.9172
image3.jpeg,8.86,0.7616,0.8641
image4.jpg,8.82,,0.7331
image5.jpg,7.59,"0.6190,0.5580",
image6.jpg,7.92,"0.7397,0.5800,0.5693,0.5594",
image7.jpg,9.26,"0.9073,0.8079,0.7050,0.6016,0.5769,0.5382,0.5364",0.5204
image8.jpg,8.91,,0.6484
image9.jpeg,9.74,,0.5048
