epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4739.02,1.46715,2.13961,1.57409,0.45677,0.47148,0.4379,0.19808,1.69757,2.30424,1.70486,0.000475049,0.000475049,0.000475049
2,9973.85,1.45316,1.66065,1.54296,0.57971,0.58812,0.59613,0.28799,1.57444,1.59143,1.60777,0.000904289,0.000904289,0.000904289
3,14988,1.44444,1.55183,1.53691,0.57181,0.58967,0.58521,0.29803,1.52707,1.5243,1.59079,0.00128637,0.00128637,0.00128637
4,19243.1,1.4213,1.48703,1.5217,0.58219,0.60523,0.62404,0.31957,1.45181,1.44308,1.54612,0.00121679,0.00121679,0.00121679
5,23541.7,1.37038,1.39027,1.49047,0.61907,0.60943,0.62448,0.31643,1.44909,1.48417,1.54265,0.00114606,0.00114606,0.00114606
6,27817,1.34134,1.34129,1.46498,0.68184,0.62718,0.67854,0.36289,1.37814,1.25075,1.45452,0.00107532,0.00107532,0.00107532
7,32098.3,1.31148,1.29698,1.45039,0.69124,0.64477,0.70866,0.37806,1.39641,1.33251,1.46716,0.00100459,0.00100459,0.00100459
8,36381.1,1.30257,1.25042,1.43069,0.70197,0.66116,0.73378,0.43494,1.29492,1.20192,1.39899,0.000933851,0.000933851,0.000933851
9,40664.7,1.2791,1.23142,1.41981,0.72704,0.6634,0.74088,0.43111,1.2964,1.12684,1.3915,0.000863116,0.000863116,0.000863116
10,44977.6,1.26008,1.20291,1.41073,0.71777,0.67112,0.72896,0.42695,1.27209,1.1236,1.39576,0.00079238,0.00079238,0.00079238
11,49230.1,1.26544,1.10521,1.45133,0.7413,0.69398,0.76992,0.47444,1.23348,1.04642,1.35583,0.000721645,0.000721645,0.000721645
12,53481.8,1.23072,1.04725,1.41643,0.7299,0.69638,0.76474,0.45635,1.26431,1.06327,1.37009,0.000650909,0.000650909,0.000650909
13,57741.6,1.21617,1.02112,1.40835,0.75032,0.72251,0.7885,0.49563,1.19721,0.97932,1.32449,0.000580174,0.000580174,0.000580174
14,62047.4,1.17634,0.98879,1.37691,0.74475,0.73552,0.80041,0.5081,1.18895,0.97698,1.32766,0.000509438,0.000509438,0.000509438
15,66635.3,1.15899,0.93922,1.36855,0.75255,0.73245,0.79623,0.50646,1.17139,0.94496,1.30872,0.000438703,0.000438703,0.000438703
16,71069.4,1.13718,0.92042,1.35551,0.7572,0.74984,0.8132,0.52484,1.16781,0.92667,1.29872,0.000367967,0.000367967,0.000367967
17,76196.8,1.11333,0.88341,1.33345,0.78095,0.73257,0.80879,0.51901,1.15506,0.89321,1.29279,0.000297232,0.000297232,0.000297232
18,80437.8,1.09151,0.85751,1.32213,0.76962,0.74526,0.81655,0.52997,1.14534,0.88099,1.28838,0.000226497,0.000226497,0.000226497
19,84687.2,1.06569,0.82344,1.30642,0.78356,0.75299,0.82266,0.53366,1.13254,0.85942,1.27699,0.000155761,0.000155761,0.000155761
20,89822.4,1.05166,0.80317,1.29341,0.81287,0.73836,0.83196,0.54893,1.11172,0.83947,1.26524,8.50255e-05,8.50255e-05,8.50255e-05
