epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4715.6,1.45759,2.24161,1.59084,0.52859,0.56328,0.53711,0.25141,1.57839,2.1553,1.64108,0.000475049,0.000475049,0.000475049
2,9694.77,1.46893,1.65875,1.56838,0.50256,0.55212,0.52661,0.26628,1.53308,2.20797,1.63346,0.000904289,0.000904289,0.000904289
3,14385.5,1.4583,1.55132,1.56255,0.50355,0.59216,0.5744,0.29694,1.53359,1.46509,1.59043,0.00128637,0.00128637,0.00128637
4,19203,1.4406,1.47697,1.54374,0.56274,0.60275,0.6012,0.32145,1.44873,1.42857,1.55683,0.00121679,0.00121679,0.00121679
5,24221.6,1.38687,1.39692,1.51565,0.58439,0.55386,0.57245,0.2794,1.56238,1.4764,1.64142,0.00114606,0.00114606,0.00114606
6,29394.1,1.34801,1.33473,1.48835,0.64907,0.66817,0.6903,0.38689,1.36579,1.26391,1.4708,0.00107532,0.00107532,0.00107532
7,35192.9,1.33123,1.29503,1.47317,0.65388,0.65525,0.6966,0.38257,1.37677,1.3412,1.46965,0.00100459,0.00100459,0.00100459
8,40430.8,1.31107,1.25179,1.44987,0.71165,0.67481,0.73745,0.4358,1.2904,1.15731,1.41253,0.000933851,0.000933851,0.000933851
9,46214.4,1.29006,1.22859,1.43506,0.73517,0.69296,0.75067,0.44603,1.30334,1.10017,1.40367,0.000863116,0.000863116,0.000863116
10,51139.5,1.27504,1.19984,1.43232,0.67641,0.70345,0.72709,0.41655,1.29175,1.09911,1.39379,0.00079238,0.00079238,0.00079238
11,56739.3,1.27567,1.09314,1.45889,0.7227,0.71522,0.77419,0.47452,1.23164,1.03838,1.37228,0.000721645,0.000721645,0.000721645
12,62477.4,1.23674,1.03632,1.43075,0.7246,0.70465,0.77239,0.48486,1.22424,1.03336,1.36051,0.000650909,0.000650909,0.000650909
13,68161.7,1.22659,1.02117,1.42086,0.73947,0.7267,0.78841,0.49637,1.2066,0.99132,1.34876,0.000580174,0.000580174,0.000580174
14,73816.1,1.19554,0.98729,1.40015,0.7461,0.71518,0.78322,0.47846,1.21288,1.00219,1.35354,0.000509438,0.000509438,0.000509438
15,79461.9,1.17211,0.94193,1.38431,0.77353,0.71311,0.78967,0.50108,1.19651,0.94122,1.33743,0.000438703,0.000438703,0.000438703
16,84947.4,1.1541,0.91238,1.37327,0.76348,0.74184,0.81032,0.52127,1.16607,0.90833,1.31307,0.000367967,0.000367967,0.000367967
17,89681.4,1.12372,0.88258,1.34946,0.76973,0.73507,0.81161,0.52158,1.14862,0.89524,1.29242,0.000297232,0.000297232,0.000297232
18,94121.5,1.10613,0.85719,1.33661,0.75209,0.76827,0.81567,0.53259,1.12804,0.87053,1.28431,0.000226497,0.000226497,0.000226497
19,98646.5,1.07837,0.82975,1.31864,0.77585,0.7543,0.82016,0.53428,1.12219,0.85347,1.27004,0.000155761,0.000155761,0.000155761
20,103832,1.06096,0.80602,1.30671,0.79394,0.7545,0.82931,0.54736,1.09047,0.83106,1.25424,8.50255e-05,8.50255e-05,8.50255e-05
