Feature,Importance
Psmoke,0.4923128132089293
Pdetection,0.11903999903780357
Ptabular,0.09852127238011621
Temperature,0.08870713715800797
Pfire,0.07845346218594673
NC0.5,0.030322424935498905
PM1.0,0.022753842895371558
TVOC,0.014558824650477576
NC1.0,0.012573382630674286
Raw H2,0.012294155504072774
Pressure,0.008841604631215779
PM2.5,0.008598674168135588
Raw Ethanol,0.006364099669157942
NC2.5,0.004255351396195893
Humidity,0.002402955548396003
ECO2,0.0
