feature,importance
Psmoke,0.26673779976022904
Pdetection,0.06671281446913373
Ptabular,0.06594766239726488
Temperature,0.05010819896987058
Pfire,0.02814131935102655
NC0.5,0.017961124612931176
PM1.0,0.01455616153833761
NC1.0,0.007752819326528191
TVOC,0.006150745442274043
PM2.5,0.0045460283041461715
Raw H2,0.00412018331242304
NC2.5,0.002479996922669149
Raw Ethanol,0.002064023700571117
Pressure,0.0019514096579384941
Humidity,0.0007995239979616664
ECO2,0.0
