feature,importance
Pfire,0.21364961734913418
Pdetection,0.10324056298501318
Ptabular,0.10224950379295426
Temperature,0.07914027854524285
NC0.5,0.021601044475510624
Psmoke,0.016749080110328128
PM1.0,0.011717768696095735
TVOC,0.00965889537428813
PM2.5,0.008409515891978974
NC1.0,0.0064909815237961434
Raw H2,0.004567933889161104
Pressure,0.0033051891654562724
NC2.5,0.0019613779570666068
Raw Ethanol,0.0013234367053729097
Humidity,0.0006180057909045966
ECO2,0.0
