Feature,Importance
Pfire,0.3006118593523468
Pdetection,0.2429313816655314
Ptabular,0.14830996948590447
Temperature,0.1307518999234803
Psmoke,0.03863602073914952
NC0.5,0.03791045423479914
PM1.0,0.022650719037779904
TVOC,0.018795212078444402
PM2.5,0.01443980889757774
Pressure,0.014268674773265384
NC1.0,0.011356093150041754
Raw H2,0.010788191172629141
NC2.5,0.003763315119173075
Raw Ethanol,0.0037583116754587426
Humidity,0.0010280886944183097
ECO2,0.0
