Image Name,FPS,Fire Scores,Smoke Scores
image1.jpg,5.30,"0.7403,0.6581",0.5041
image2.jpg,11.03,0.7532,0.9254
image3.jpeg,10.39,0.8039,0.8840
image4.jpg,9.22,,0.5591
image5.jpg,7.94,"0.6785,0.5194",
image6.jpg,8.24,"0.6945,0.6555,0.6189,0.5794,0.5392",
image7.jpg,9.32,"0.9008,0.5819,0.5511,0.5462,0.5459","0.7335,0.5060"
image8.jpg,8.83,,0.5604
image9.jpeg,10.95,,0.6325
